station_destination,SIM_est_2beta_sum,flow_sum,change_ratio
Tooting Bec,1211.0,1239,-28.0
Wembley Park,5732.0,5759,-27.0
Blackhorse Road,2929.0,2955,-26.0
Upton Park,1620.0,1642,-22.0
Wembley Central,1305.0,1327,-22.0
Dollis Hill,827.0,847,-20.0
Southgate,854.0,874,-20.0
Acton Town,2182.0,2202,-20.0
Colindale,2061.0,2081,-20.0
Barking,6985.0,7004,-19.0
Bounds Green,759.0,778,-19.0
Willesden Green,811.0,830,-19.0
Morden,1428.0,1447,-19.0
Arnos Grove,729.0,748,-19.0
Kew Gardens,774.0,792,-18.0
Turnpike Lane,974.0,992,-18.0
East Ham,2044.0,2062,-18.0
Colliers Wood,848.0,865,-17.0
Goldhawk Road,353.0,370,-17.0
Walthamstow Central,5254.0,5271,-17.0
Tooting Broadway,4489.0,4506,-17.0
Arsenal,298.0,315,-17.0
Brent Cross,434.0,450,-16.0
Stepney Green,1863.0,1879,-16.0
Hendon Central,1862.0,1878,-16.0
East Finchley,1238.0,1253,-15.0
South Wimbledon,1347.0,1361,-14.0
Southfields,1337.0,1351,-14.0
Stamford Brook,770.0,784,-14.0
Bromley-by-Bow,1599.0,1613,-14.0
Bow Road,1180.0,1193,-13.0
Wimbledon Park,583.0,596,-13.0
High Barnet,940.0,953,-13.0
Finchley Central,1908.0,1921,-13.0
Ealing Common,902.0,915,-13.0
Leyton,1434.0,1447,-13.0
Hanger Lane,1480.0,1493,-13.0
Northfields,851.0,864,-13.0
Leytonstone,1832.0,1844,-12.0
South Ealing,658.0,670,-12.0
Woodside Park,733.0,745,-12.0
Park Royal,1540.0,1552,-12.0
Tufnell Park,545.0,557,-12.0
Perivale,520.0,532,-12.0
Plaistow,1038.0,1049,-11.0
Harrow & Wealdstone,1324.0,1335,-11.0
Greenford,1146.0,1157,-11.0
Edgware,761.0,772,-11.0
Archway,2183.0,2193,-10.0
Harlesden,1658.0,1668,-10.0
Mill Hill East,671.0,681,-10.0
Clapham South,1503.0,1513,-10.0
Hounslow East,833.0,843,-10.0
Shepherd's Bush Market,406.0,416,-10.0
King's Cross St. Pancras,33320.0,33330,-10.0
Caledonian Road,1793.0,1803,-10.0
Victoria,33241.0,33251,-10.0
Hounslow Central,698.0,708,-10.0
Neasden,722.0,732,-10.0
Cannon Street,4689.0,4698,-9.0
Tottenham Hale,3230.0,3239,-9.0
Stonebridge Park,720.0,729,-9.0
Burnt Oak,640.0,649,-9.0
Kensal Green,463.0,472,-9.0
Osterley,513.0,521,-8.0
Ealing Broadway,4838.0,4846,-8.0
West Acton,480.0,488,-8.0
North Wembley,357.0,365,-8.0
Putney Bridge,2486.0,2494,-8.0
Northolt,655.0,663,-8.0
Northwick Park,1705.0,1713,-8.0
South Kenton,253.0,261,-8.0
Golders Green,1863.0,1871,-8.0
Turnham Green,1507.0,1515,-8.0
Heathrow Terminals 2 & 3,2398.0,2406,-8.0
Harrow-on-the-Hill,3011.0,3019,-8.0
Earl's Court,6606.0,6613,-7.0
Dagenham Heathway,1101.0,1108,-7.0
South Woodford,759.0,766,-7.0
Pimlico,5578.0,5585,-7.0
Wood Green,2139.0,2146,-7.0
Hampstead,2003.0,2010,-7.0
White Hart Lane,634.0,641,-7.0
North Ealing,325.0,332,-7.0
Uxbridge,4309.0,4316,-7.0
Stockwell,1616.0,1623,-7.0
North Acton,3161.0,3168,-7.0
Regent's Park,3357.0,3364,-7.0
Heathrow Terminal 5,968.0,975,-7.0
Alperton,734.0,741,-7.0
Moorgate,24567.0,24574,-7.0
Chiswick Park,1510.0,1517,-7.0
Queensbury,433.0,439,-6.0
Gants Hill,595.0,601,-6.0
Preston Road,405.0,411,-6.0
Oakwood,417.0,423,-6.0
Shepherd's Bush,9884.0,9890,-6.0
Kingsbury,1012.0,1018,-6.0
North Greenwich,6270.0,6276,-6.0
Woodford,700.0,706,-6.0
Latimer Road,1103.0,1109,-6.0
Marble Arch,6139.0,6145,-6.0
West Ham,5481.0,5487,-6.0
Boston Manor,886.0,892,-6.0
Holland Park,2057.0,2063,-6.0
Wanstead,413.0,419,-6.0
Highgate,850.0,856,-6.0
Fulham Broadway,4194.0,4200,-6.0
Canning Town,15422.0,15428,-6.0
Totteridge & Whetstone,281.0,287,-6.0
Southwark,10320.0,10326,-6.0
Hatton Cross,1214.0,1219,-5.0
Finchley Road,3412.0,3417,-5.0
Kilburn Park,818.0,823,-5.0
Redbridge,193.0,198,-5.0
Camden Town,6343.0,6348,-5.0
Kenton,763.0,768,-5.0
Loughton,650.0,655,-5.0
Stanmore,978.0,983,-5.0
Sudbury Hill,272.0,277,-5.0
Dagenham East,644.0,649,-5.0
Heathrow Terminal 4,688.0,693,-5.0
Chalk Farm,1324.0,1329,-5.0
Kennington,1156.0,1161,-5.0
Hounslow West,396.0,401,-5.0
Lewisham,2396.0,2400,-4.0
Knightsbridge,6817.0,6821,-4.0
East Acton,1501.0,1505,-4.0
Lancaster Gate,1816.0,1820,-4.0
St. Paul's,13442.0,13446,-4.0
Ladbroke Grove,2127.0,2131,-4.0
Barons Court,2952.0,2956,-4.0
Carpenders Park,336.0,340,-4.0
Becontree,452.0,456,-4.0
Upney,481.0,485,-4.0
Dalston Kingsland,2087.0,2091,-4.0
Watford High Street,786.0,790,-4.0
Manor House,1308.0,1311,-3.0
Bond Street,20964.0,20967,-3.0
Cockfosters,259.0,262,-3.0
Bermondsey,3169.0,3172,-3.0
Clapton,424.0,427,-3.0
London Bridge,29923.0,29926,-3.0
London City Airport,1938.0,1941,-3.0
Sydenham,512.0,515,-3.0
Homerton,1995.0,1998,-3.0
Newbury Park,556.0,559,-3.0
Crystal Palace,496.0,499,-3.0
High Street Kensington,5424.0,5427,-3.0
Mudchute,299.0,302,-3.0
Highbury & Islington,25382.0,25385,-3.0
Hillingdon,315.0,318,-3.0
Queen's Park,2164.0,2167,-3.0
Southbury,535.0,538,-3.0
Anerley,170.0,173,-3.0
Aldgate,7779.0,7782,-3.0
All Saints,441.0,444,-3.0
Wood Street,401.0,404,-3.0
Goodge Street,6454.0,6457,-3.0
Roding Valley,81.0,84,-3.0
Enfield Town,746.0,749,-3.0
Grange Hill,73.0,76,-3.0
Ruislip,254.0,257,-3.0
Elephant & Castle,6424.0,6427,-3.0
West Finchley,88.0,91,-3.0
Edgware Road,6865.0,6868,-3.0
Norwood Junction,403.0,406,-3.0
Bayswater,612.0,615,-3.0
Snaresbrook,509.0,512,-3.0
South Acton,972.0,975,-3.0
South Harrow,384.0,387,-3.0
Whitechapel,17631.0,17633,-2.0
Maryland,348.0,350,-2.0
West Ruislip,192.0,194,-2.0
West Hampstead,5854.0,5856,-2.0
Mansion House,7813.0,7815,-2.0
Westbourne Park,1345.0,1347,-2.0
Woodgrange Park,240.0,242,-2.0
Westferry,1248.0,1250,-2.0
Leytonstone High Road,312.0,314,-2.0
Ravenscourt Park,1893.0,1895,-2.0
Watford Junction,1365.0,1367,-2.0
Pudding Mill Lane,429.0,431,-2.0
Rayners Lane,424.0,426,-2.0
Richmond,5395.0,5397,-2.0
Rickmansworth,935.0,937,-2.0
Parsons Green,2709.0,2711,-2.0
Ruislip Gardens,165.0,167,-2.0
Shoreditch High Street,7556.0,7558,-2.0
Notting Hill Gate,5488.0,5490,-2.0
West Croydon,2046.0,2048,-2.0
Northwood Hills,486.0,488,-2.0
South Ruislip,287.0,289,-2.0
Stratford,55952.0,55954,-2.0
Surrey Quays,1003.0,1005,-2.0
Theobalds Grove,180.0,182,-2.0
New Cross Gate,1338.0,1340,-2.0
Wandsworth Road,496.0,498,-2.0
Wanstead Park,414.0,416,-2.0
Watford,959.0,961,-2.0
South Quay,4589.0,4591,-2.0
Upminster,1130.0,1132,-2.0
Abbey Road,343.0,345,-2.0
Holloway Road,1694.0,1696,-2.0
Gunnersbury,4773.0,4775,-2.0
Hackney Central,2438.0,2440,-2.0
Hackney Wick,1261.0,1263,-2.0
Edmonton Green,781.0,783,-2.0
Debden,863.0,865,-2.0
Clapham North,1236.0,1238,-2.0
Clapham Common,2018.0,2020,-2.0
Highams Park,388.0,390,-2.0
Hornchurch,449.0,451,-2.0
Canonbury,844.0,846,-2.0
Canada Water,20441.0,20443,-2.0
Bushey,454.0,456,-2.0
Bush Hill Park,174.0,176,-2.0
Gospel Oak,2023.0,2025,-2.0
Bruce Grove,348.0,350,-2.0
Kentish Town,3402.0,3404,-2.0
Barbican,9132.0,9134,-2.0
Brixton,5082.0,5084,-2.0
Island Gardens,689.0,691,-2.0
Farringdon,25591.0,25592,-1.0
Fairlop,181.0,182,-1.0
Epping,497.0,498,-1.0
Ruislip Manor,407.0,408,-1.0
Amersham,255.0,256,-1.0
Croxley,339.0,340,-1.0
Gidea Park,298.0,299,-1.0
Seven Sisters,10190.0,10191,-1.0
White City,5965.0,5966,-1.0
Shenfield,932.0,933,-1.0
Beckton,441.0,442,-1.0
Silver Street,952.0,953,-1.0
Pontoon Dock,1122.0,1123,-1.0
Beckton Park,87.0,88,-1.0
Rectory Road,218.0,219,-1.0
Seven Kings,558.0,559,-1.0
Crossharbour,1207.0,1208,-1.0
West Kensington,1344.0,1345,-1.0
Camden Road,3783.0,3784,-1.0
Upminster Bridge,567.0,568,-1.0
Waterloo,23407.0,23408,-1.0
Canons Park,525.0,526,-1.0
Tower Gateway,3341.0,3342,-1.0
Chadwell Heath,560.0,561,-1.0
Chalfont & Latimer,553.0,554,-1.0
Crouch Hill,403.0,404,-1.0
Brentwood,741.0,742,-1.0
Charing Cross,7015.0,7016,-1.0
Goodmayes,682.0,683,-1.0
Chesham,242.0,243,-1.0
Chigwell,147.0,148,-1.0
West India Quay,399.0,400,-1.0
Chingford,236.0,237,-1.0
Stoke Newington,478.0,479,-1.0
Chancery Lane,15390.0,15391,-1.0
Langdon Park,1988.0,1989,-1.0
Woolwich Arsenal,4427.0,4428,-1.0
Hammersmith,18249.0,18250,-1.0
Ilford,1664.0,1665,-1.0
Honor Oak Park,340.0,341,-1.0
Holborn,22345.0,22346,-1.0
New Cross,1026.0,1027,-1.0
Moor Park,549.0,550,-1.0
Leyton Midland Road,444.0,445,-1.0
Hatch End,92.0,93,-1.0
Peckham Rye,1069.0,1070,-1.0
Hainault,355.0,356,-1.0
Penge West,149.0,150,-1.0
Hampstead Heath,2791.0,2792,-1.0
Kilburn,1952.0,1953,-1.0
Hoxton,2180.0,2181,-1.0
Harringay Green Lanes,544.0,544,0.0
Stamford Hill,352.0,352,0.0
Headstone Lane,310.0,310,0.0
Chorleywood,702.0,702,0.0
Sudbury Town,218.0,218,0.0
Cheshunt,116.0,116,0.0
North Harrow,190.0,190,0.0
Theydon Bois,98.0,98,0.0
Stratford International,1546.0,1546,0.0
Turkey Street,458.0,458,0.0
Acton Central,750.0,750,0.0
King George V,800.0,800,0.0
Willesden Junction,4165.0,4165,0.0
Barkingside,262.0,262,0.0
West Silvertown,893.0,893,0.0
Kentish Town West,1128.0,1128,0.0
West Harrow,122.0,122,0.0
Blackwall,665.0,665,0.0
Brockley,468.0,468,0.0
Brondesbury,712.0,712,0.0
Kensal Rise,1376.0,1376,0.0
Warren Street,17309.0,17309,0.0
Buckhurst Hill,228.0,228,0.0
Upper Holloway,898.0,898,0.0
Dalston Junction,1289.0,1289,0.0
Mile End,3759.0,3759,0.0
Ickenham,282.0,282,0.0
East India,1522.0,1522,0.0
Forest Gate,816.0,816,0.0
Elverson Road,226.0,226,0.0
Shadwell,7446.0,7446,0.0
Eastcote,364.0,364,0.0
Northwood,1018.0,1018,0.0
Rotherhithe,321.0,321,0.0
Royal Albert,684.0,684,0.0
Elm Park,269.0,269,0.0
Hackney Downs,834.0,834,0.0
Lambeth North,1319.0,1319,0.0
Emerson Park,42.0,42,0.0
Great Portland Street,6936.0,6936,0.0
Royal Victoria,763.0,763,0.0
Tottenham Court Road,19127.0,19126,1.0
Romford,2195.0,2194,1.0
South Hampstead,237.0,236,1.0
Manor Park,437.0,436,1.0
Euston,16801.0,16800,1.0
Devons Road,612.0,611,1.0
Walthamstow Queens Road,1268.0,1267,1.0
Brondesbury Park,896.0,895,1.0
Wapping,1067.0,1066,1.0
Greenwich,1190.0,1189,1.0
Finchley Road & Frognal,1530.0,1529,1.0
West Brompton,5860.0,5859,1.0
Forest Hill,609.0,608,1.0
Gallions Reach,558.0,557,1.0
Kilburn High Road,267.0,266,1.0
Wimbledon,6296.0,6295,1.0
Baker Street,14974.0,14973,1.0
Wood Lane,1579.0,1578,1.0
Mornington Crescent,2928.0,2927,1.0
Oval,2545.0,2544,1.0
Pinner,293.0,292,1.0
St James Street,185.0,184,1.0
Harold Wood,531.0,530,1.0
Star Lane,1053.0,1052,1.0
Covent Garden,4356.0,4355,1.0
Clapham High Street,1297.0,1296,1.0
Cutty Sark,1749.0,1748,1.0
St. John's Wood,3983.0,3982,1.0
Stratford High Street,789.0,788,1.0
Heron Quays,5976.0,5975,1.0
South Tottenham,553.0,552,1.0
Denmark Hill,2613.0,2612,1.0
Temple,6781.0,6780,1.0
Cyprus,851.0,850,1.0
Blackfriars,10850.0,10848,2.0
Maida Vale,951.0,949,2.0
Green Park,26756.0,26754,2.0
London Fields,792.0,790,2.0
Queensway,1884.0,1882,2.0
Imperial Wharf,2051.0,2049,2.0
Cambridge Heath,460.0,458,2.0
Custom House,847.0,845,2.0
Clapham Junction,4971.0,4969,2.0
Haggerston,1186.0,1184,2.0
Marylebone,4252.0,4250,2.0
East Putney,1879.0,1877,2.0
Royal Oak,858.0,856,2.0
Limehouse,2933.0,2931,2.0
Borough,3256.0,3254,2.0
Queens Road Peckham,750.0,747,3.0
Belsize Park,2258.0,2255,3.0
Bethnal Green,4663.0,4660,3.0
Finsbury Park,6772.0,6769,3.0
South Kensington,15328.0,15325,3.0
Oxford Circus,44371.0,44368,3.0
Caledonian Road & Barnsbury,1671.0,1668,3.0
Kensington,2255.0,2252,3.0
Russell Square,5175.0,5172,3.0
Warwick Avenue,1177.0,1174,3.0
Bow Church,928.0,925,3.0
Euston Square,8096.0,8093,3.0
Piccadilly Circus,13645.0,13641,4.0
Prince Regent,758.0,754,4.0
Deptford Bridge,844.0,840,4.0
Balham,3818.0,3814,4.0
Vauxhall,16246.0,16242,4.0
Poplar,1305.0,1301,4.0
Aldgate East,7936.0,7932,4.0
Swiss Cottage,2603.0,2598,5.0
Tower Hill,8291.0,8286,5.0
Gloucester Road,5199.0,5194,5.0
Liverpool Street,61129.0,61122,7.0
Embankment,10227.0,10220,7.0
Canary Wharf,58779.0,58772,7.0
Sloane Square,8236.0,8229,7.0
Bank and Monument,78556.0,78549,7.0
Old Street,15905.0,15897,8.0
Hyde Park Corner,2418.0,2410,8.0
Angel,8111.0,8103,8.0
Paddington,20201.0,20193,8.0
Westminster,15474.0,15466,8.0
Leicester Square,8859.0,8847,12.0
St. James's Park,13351.0,13339,12.0
